"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","06.05.2025","14:55:00","06.05.2025","16:30:00","Ложь","Истина","06.05.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","20.05.2025","14:55:00","20.05.2025","16:30:00","Ложь","Истина","20.05.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","03.06.2025","14:55:00","03.06.2025","16:30:00","Ложь","Истина","03.06.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-4 - ОПJа Пз DL ПЗПІ-23-4","04.03.2025","14:55:00","04.03.2025","16:30:00","Ложь","Истина","04.03.2025","14:50:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","18.03.2025","14:55:00","18.03.2025","16:30:00","Ложь","Истина","18.03.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","01.04.2025","14:55:00","01.04.2025","16:30:00","Ложь","Истина","01.04.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Пз DL ПЗПІ-23-4","15.04.2025","14:55:00","15.04.2025","16:30:00","Ложь","Истина","15.04.2025","14:50:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","29.04.2025","14:55:00","29.04.2025","16:30:00","Ложь","Истина","29.04.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","13.05.2025","14:55:00","13.05.2025","16:30:00","Ложь","Истина","13.05.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","27.05.2025","14:55:00","27.05.2025","16:30:00","Ложь","Истина","27.05.2025","14:50:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-6 - ОС Лк DL ПЗПІ-23-6,7,8,9,10","18.02.2025","14:55:00","18.02.2025","16:30:00","Ложь","Истина","18.02.2025","14:50:00","2","Обычная","ОС Лк DL ПЗПІ-23-6,7,8,9,10","Обычный"
"ПЗПІ-23-6 - Пр_П Пз DL ПЗПІ-23-6","04.03.2025","14:55:00","04.03.2025","16:30:00","Ложь","Истина","04.03.2025","14:50:00","2","Обычная","Пр_П Пз DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - ІМ Пз DL ПЗПІ-23-6","11.03.2025","14:55:00","11.03.2025","16:30:00","Ложь","Истина","11.03.2025","14:50:00","2","Обычная","ІМ Пз DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - СмП Пз DL ПЗПІ-23-6","18.03.2025","14:55:00","18.03.2025","16:30:00","Ложь","Истина","18.03.2025","14:50:00","2","Обычная","СмП Пз DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - СмП Лб DL ПЗПІ-23-6","25.03.2025","14:55:00","25.03.2025","16:30:00","Ложь","Истина","25.03.2025","14:50:00","2","Обычная","СмП Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - Пр_П Лб DL ПЗПІ-23-6","08.04.2025","14:55:00","08.04.2025","16:30:00","Ложь","Истина","08.04.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - СмП Лб DL ПЗПІ-23-6","15.04.2025","14:55:00","15.04.2025","16:30:00","Ложь","Истина","15.04.2025","14:50:00","2","Обычная","СмП Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - ОПJ Лб DL ПЗПІ-23-6","22.04.2025","14:55:00","22.04.2025","16:30:00","Ложь","Истина","22.04.2025","14:50:00","2","Обычная","ОПJ Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - Пр_П Лб DL ПЗПІ-23-6","29.04.2025","14:55:00","29.04.2025","16:30:00","Ложь","Истина","29.04.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - СмП Лб DL ПЗПІ-23-6","13.05.2025","14:55:00","13.05.2025","16:30:00","Ложь","Истина","13.05.2025","14:50:00","2","Обычная","СмП Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - Пр_П Лб DL ПЗПІ-23-6","20.05.2025","14:55:00","20.05.2025","16:30:00","Ложь","Истина","20.05.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - СмП Лб DL ПЗПІ-23-6","03.06.2025","14:55:00","03.06.2025","16:30:00","Ложь","Истина","03.06.2025","14:50:00","2","Обычная","СмП Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - ІМ Екз DL ПЗПІ-23-6","24.06.2025","14:55:00","24.06.2025","16:30:00","Ложь","Истина","24.06.2025","14:50:00","2","Обычная","ІМ Екз DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-7 - ОС Лк DL ПЗПІ-23-6,7,8,9,10","18.02.2025","14:55:00","18.02.2025","16:30:00","Ложь","Истина","18.02.2025","14:50:00","2","Обычная","ОС Лк DL ПЗПІ-23-6,7,8,9,10","Обычный"
"ПЗПІ-23-7 - ОПJ Пз DL ПЗПІ-23-7","11.03.2025","14:55:00","11.03.2025","16:30:00","Ложь","Истина","11.03.2025","14:50:00","2","Обычная","ОПJ Пз DL ПЗПІ-23-7","Обычный"
"ПЗПІ-23-7 - ОПJ Лб DL ПЗПІ-23-7","25.03.2025","14:55:00","25.03.2025","16:30:00","Ложь","Истина","25.03.2025","14:50:00","2","Обычная","ОПJ Лб DL ПЗПІ-23-7","Обычный"
"ПЗПІ-23-7 - СмП Пз DL ПЗПІ-23-7","01.04.2025","14:55:00","01.04.2025","16:30:00","Ложь","Истина","01.04.2025","14:50:00","2","Обычная","СмП Пз DL ПЗПІ-23-7","Обычный"
"ПЗПІ-23-7 - ОПJ Лб DL ПЗПІ-23-7","06.05.2025","14:55:00","06.05.2025","16:30:00","Ложь","Истина","06.05.2025","14:50:00","2","Обычная","ОПJ Лб DL ПЗПІ-23-7","Обычный"
"ПЗПІ-23-7 - Пр_П Екз DL ПЗПІ-23-7","10.06.2025","14:55:00","10.06.2025","16:30:00","Ложь","Истина","10.06.2025","14:50:00","2","Обычная","Пр_П Екз DL ПЗПІ-23-7","Обычный"
"ПЗПІ-23-8 - ОС Лк DL ПЗПІ-23-6,7,8,9,10","18.02.2025","14:55:00","18.02.2025","16:30:00","Ложь","Истина","18.02.2025","14:50:00","2","Обычная","ОС Лк DL ПЗПІ-23-6,7,8,9,10","Обычный"
"ПЗПІ-23-8 - СмП Пз DL ПЗПІ-23-8","11.03.2025","14:55:00","11.03.2025","16:30:00","Ложь","Истина","11.03.2025","14:50:00","2","Обычная","СмП Пз DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - Пр_П Пз DL ПЗПІ-23-8","18.03.2025","14:55:00","18.03.2025","16:30:00","Ложь","Истина","18.03.2025","14:50:00","2","Обычная","Пр_П Пз DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - Пр_П Лб DL ПЗПІ-23-8","01.04.2025","14:55:00","01.04.2025","16:30:00","Ложь","Истина","01.04.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - Пр_П Лб DL ПЗПІ-23-8","15.04.2025","14:55:00","15.04.2025","16:30:00","Ложь","Истина","15.04.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - СмП Лб DL ПЗПІ-23-8","22.04.2025","14:55:00","22.04.2025","16:30:00","Ложь","Истина","22.04.2025","14:50:00","2","Обычная","СмП Лб DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - Пр_П Лб DL ПЗПІ-23-8","06.05.2025","14:55:00","06.05.2025","16:30:00","Ложь","Истина","06.05.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - Пр_П Лб DL ПЗПІ-23-8","27.05.2025","14:55:00","27.05.2025","16:30:00","Ложь","Истина","27.05.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - ОС Екз DL ПЗПІ-23-8","17.06.2025","14:55:00","17.06.2025","16:30:00","Ложь","Истина","17.06.2025","14:50:00","2","Обычная","ОС Екз DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-9 - ОС Лк DL ПЗПІ-23-6,7,8,9,10","18.02.2025","14:55:00","18.02.2025","16:30:00","Ложь","Истина","18.02.2025","14:50:00","2","Обычная","ОС Лк DL ПЗПІ-23-6,7,8,9,10","Обычный"
"ПЗПІ-23-9 - Філ Пз DL ПЗПІ-23-9","25.02.2025","14:55:00","25.02.2025","16:30:00","Ложь","Истина","25.02.2025","14:50:00","2","Обычная","Філ Пз DL ПЗПІ-23-9","Обычный"
"ПЗПІ-23-9 - Філ Конс DL ПЗПІ-23-9","10.06.2025","14:55:00","10.06.2025","16:30:00","Ложь","Истина","10.06.2025","14:50:00","2","Обычная","Філ Конс DL ПЗПІ-23-9","Обычный"
"ПЗПІ-23-9 - ОС Екз DL ПЗПІ-23-9","24.06.2025","14:55:00","24.06.2025","16:30:00","Ложь","Истина","24.06.2025","14:50:00","2","Обычная","ОС Екз DL ПЗПІ-23-9","Обычный"
"ПЗПІ-23-10 - ОС Лк DL ПЗПІ-23-6,7,8,9,10","18.02.2025","14:55:00","18.02.2025","16:30:00","Ложь","Истина","18.02.2025","14:50:00","2","Обычная","ОС Лк DL ПЗПІ-23-6,7,8,9,10","Обычный"
"ПЗПІ-23-10 - ОС Пз DL ПЗПІ-23-10","25.02.2025","14:55:00","25.02.2025","16:30:00","Ложь","Истина","25.02.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - ОС Пз DL ПЗПІ-23-10","04.03.2025","14:55:00","04.03.2025","16:30:00","Ложь","Истина","04.03.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - Пр_П Пз DL ПЗПІ-23-10","11.03.2025","14:55:00","11.03.2025","16:30:00","Ложь","Истина","11.03.2025","14:50:00","2","Обычная","Пр_П Пз DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - ОС Пз DL ПЗПІ-23-10","18.03.2025","14:55:00","18.03.2025","16:30:00","Ложь","Истина","18.03.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - Пр_П Лб DL ПЗПІ-23-10","25.03.2025","14:55:00","25.03.2025","16:30:00","Ложь","Истина","25.03.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - ОС Пз DL ПЗПІ-23-10","01.04.2025","14:55:00","01.04.2025","16:30:00","Ложь","Истина","01.04.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - СмП Лб DL ПЗПІ-23-10","08.04.2025","14:55:00","08.04.2025","16:30:00","Ложь","Истина","08.04.2025","14:50:00","2","Обычная","СмП Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - ОС Пз DL ПЗПІ-23-10","15.04.2025","14:55:00","15.04.2025","16:30:00","Ложь","Истина","15.04.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - Пр_П Лб DL ПЗПІ-23-10","22.04.2025","14:55:00","22.04.2025","16:30:00","Ложь","Истина","22.04.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - СмП Лб DL ПЗПІ-23-10","29.04.2025","14:55:00","29.04.2025","16:30:00","Ложь","Истина","29.04.2025","14:50:00","2","Обычная","СмП Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - ОС Пз DL ПЗПІ-23-10","06.05.2025","14:55:00","06.05.2025","16:30:00","Ложь","Истина","06.05.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - Пр_П Лб DL ПЗПІ-23-10","13.05.2025","14:55:00","13.05.2025","16:30:00","Ложь","Истина","13.05.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - СмП Лб DL ПЗПІ-23-10","20.05.2025","14:55:00","20.05.2025","16:30:00","Ложь","Истина","20.05.2025","14:50:00","2","Обычная","СмП Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - СмП Лб DL ПЗПІ-23-10","27.05.2025","14:55:00","27.05.2025","16:30:00","Ложь","Истина","27.05.2025","14:50:00","2","Обычная","СмП Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - Пр_П Лб DL ПЗПІ-23-10","03.06.2025","14:55:00","03.06.2025","16:30:00","Ложь","Истина","03.06.2025","14:50:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","04.03.2025","14:55:00","04.03.2025","16:30:00","Ложь","Истина","04.03.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","01.04.2025","14:55:00","01.04.2025","16:30:00","Ложь","Истина","01.04.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","15.04.2025","14:55:00","15.04.2025","16:30:00","Ложь","Истина","15.04.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","29.04.2025","14:55:00","29.04.2025","16:30:00","Ложь","Истина","29.04.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Пз DL ПЗПІ-23-5","13.05.2025","14:55:00","13.05.2025","16:30:00","Ложь","Истина","13.05.2025","14:50:00","2","Обычная","ОС Пз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ОС Екз DL ПЗПІ-23-5","17.06.2025","14:55:00","17.06.2025","16:30:00","Ложь","Истина","17.06.2025","14:50:00","2","Обычная","ОС Екз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-1 - ПрПА Екз DL ПЗПІ-23-1","17.06.2025","16:40:00","17.06.2025","18:15:00","Ложь","Истина","17.06.2025","16:35:00","2","Обычная","ПрПА Екз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-2 - ОС Конс DL ПЗПІ-23-2","10.06.2025","16:40:00","10.06.2025","18:15:00","Ложь","Истина","10.06.2025","16:35:00","2","Обычная","ОС Конс DL ПЗПІ-23-2","Обычный"
"ПЗПІ-23-3 - ОПJа Пз DL ПЗПІ-23-3","25.02.2025","16:40:00","25.02.2025","18:15:00","Ложь","Истина","25.02.2025","16:35:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","11.03.2025","16:40:00","11.03.2025","18:15:00","Ложь","Истина","11.03.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","01.04.2025","16:40:00","01.04.2025","18:15:00","Ложь","Истина","01.04.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Пз DL ПЗПІ-23-3","22.04.2025","16:40:00","22.04.2025","18:15:00","Ложь","Истина","22.04.2025","16:35:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","06.05.2025","16:40:00","06.05.2025","18:15:00","Ложь","Истина","06.05.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","20.05.2025","16:40:00","20.05.2025","18:15:00","Ложь","Истина","20.05.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-3 - ОПJа Лб DL ПЗПІ-23-3","03.06.2025","16:40:00","03.06.2025","18:15:00","Ложь","Истина","03.06.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-3","Обычный"
"ПЗПІ-23-4 - ОПJа Пз DL ПЗПІ-23-4","04.03.2025","16:40:00","04.03.2025","18:15:00","Ложь","Истина","04.03.2025","16:35:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","18.03.2025","16:40:00","18.03.2025","18:15:00","Ложь","Истина","18.03.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","01.04.2025","16:40:00","01.04.2025","18:15:00","Ложь","Истина","01.04.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Пз DL ПЗПІ-23-4","15.04.2025","16:40:00","15.04.2025","18:15:00","Ложь","Истина","15.04.2025","16:35:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","29.04.2025","16:40:00","29.04.2025","18:15:00","Ложь","Истина","29.04.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","13.05.2025","16:40:00","13.05.2025","18:15:00","Ложь","Истина","13.05.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Лб DL ПЗПІ-23-4","27.05.2025","16:40:00","27.05.2025","18:15:00","Ложь","Истина","27.05.2025","16:35:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-6 - Пр_П Пз DL ПЗПІ-23-6","04.03.2025","16:40:00","04.03.2025","18:15:00","Ложь","Истина","04.03.2025","16:35:00","2","Обычная","Пр_П Пз DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - СмП Лб DL ПЗПІ-23-6","25.03.2025","16:40:00","25.03.2025","18:15:00","Ложь","Истина","25.03.2025","16:35:00","2","Обычная","СмП Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - Пр_П Лб DL ПЗПІ-23-6","08.04.2025","16:40:00","08.04.2025","18:15:00","Ложь","Истина","08.04.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - СмП Лб DL ПЗПІ-23-6","15.04.2025","16:40:00","15.04.2025","18:15:00","Ложь","Истина","15.04.2025","16:35:00","2","Обычная","СмП Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - ОПJ Лб DL ПЗПІ-23-6","22.04.2025","16:40:00","22.04.2025","18:15:00","Ложь","Истина","22.04.2025","16:35:00","2","Обычная","ОПJ Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - Пр_П Лб DL ПЗПІ-23-6","29.04.2025","16:40:00","29.04.2025","18:15:00","Ложь","Истина","29.04.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - СмП Лб DL ПЗПІ-23-6","13.05.2025","16:40:00","13.05.2025","18:15:00","Ложь","Истина","13.05.2025","16:35:00","2","Обычная","СмП Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - Пр_П Лб DL ПЗПІ-23-6","20.05.2025","16:40:00","20.05.2025","18:15:00","Ложь","Истина","20.05.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - СмП Лб DL ПЗПІ-23-6","03.06.2025","16:40:00","03.06.2025","18:15:00","Ложь","Истина","03.06.2025","16:35:00","2","Обычная","СмП Лб DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-6 - ІМ Екз DL ПЗПІ-23-6","24.06.2025","16:40:00","24.06.2025","18:15:00","Ложь","Истина","24.06.2025","16:35:00","2","Обычная","ІМ Екз DL ПЗПІ-23-6","Обычный"
"ПЗПІ-23-7 - ОПJ Пз DL ПЗПІ-23-7","11.03.2025","16:40:00","11.03.2025","18:15:00","Ложь","Истина","11.03.2025","16:35:00","2","Обычная","ОПJ Пз DL ПЗПІ-23-7","Обычный"
"ПЗПІ-23-7 - ОПJ Лб DL ПЗПІ-23-7","25.03.2025","16:40:00","25.03.2025","18:15:00","Ложь","Истина","25.03.2025","16:35:00","2","Обычная","ОПJ Лб DL ПЗПІ-23-7","Обычный"
"ПЗПІ-23-7 - ОПJ Лб DL ПЗПІ-23-7","06.05.2025","16:40:00","06.05.2025","18:15:00","Ложь","Истина","06.05.2025","16:35:00","2","Обычная","ОПJ Лб DL ПЗПІ-23-7","Обычный"
"ПЗПІ-23-7 - Пр_П Екз DL ПЗПІ-23-7","10.06.2025","16:40:00","10.06.2025","18:15:00","Ложь","Истина","10.06.2025","16:35:00","2","Обычная","Пр_П Екз DL ПЗПІ-23-7","Обычный"
"ПЗПІ-23-8 - Пр_П Пз DL ПЗПІ-23-8","18.03.2025","16:40:00","18.03.2025","18:15:00","Ложь","Истина","18.03.2025","16:35:00","2","Обычная","Пр_П Пз DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - Пр_П Лб DL ПЗПІ-23-8","01.04.2025","16:40:00","01.04.2025","18:15:00","Ложь","Истина","01.04.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - Пр_П Лб DL ПЗПІ-23-8","15.04.2025","16:40:00","15.04.2025","18:15:00","Ложь","Истина","15.04.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - СмП Лб DL ПЗПІ-23-8","22.04.2025","16:40:00","22.04.2025","18:15:00","Ложь","Истина","22.04.2025","16:35:00","2","Обычная","СмП Лб DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - Пр_П Лб DL ПЗПІ-23-8","06.05.2025","16:40:00","06.05.2025","18:15:00","Ложь","Истина","06.05.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - Пр_П Лб DL ПЗПІ-23-8","27.05.2025","16:40:00","27.05.2025","18:15:00","Ложь","Истина","27.05.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-8 - ОС Екз DL ПЗПІ-23-8","17.06.2025","16:40:00","17.06.2025","18:15:00","Ложь","Истина","17.06.2025","16:35:00","2","Обычная","ОС Екз DL ПЗПІ-23-8","Обычный"
"ПЗПІ-23-9 - ОС Екз DL ПЗПІ-23-9","24.06.2025","16:40:00","24.06.2025","18:15:00","Ложь","Истина","24.06.2025","16:35:00","2","Обычная","ОС Екз DL ПЗПІ-23-9","Обычный"
"ПЗПІ-23-10 - Пр_П Пз DL ПЗПІ-23-10","11.03.2025","16:40:00","11.03.2025","18:15:00","Ложь","Истина","11.03.2025","16:35:00","2","Обычная","Пр_П Пз DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - Пр_П Лб DL ПЗПІ-23-10","25.03.2025","16:40:00","25.03.2025","18:15:00","Ложь","Истина","25.03.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - СмП Лб DL ПЗПІ-23-10","08.04.2025","16:40:00","08.04.2025","18:15:00","Ложь","Истина","08.04.2025","16:35:00","2","Обычная","СмП Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - Пр_П Лб DL ПЗПІ-23-10","22.04.2025","16:40:00","22.04.2025","18:15:00","Ложь","Истина","22.04.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - СмП Лб DL ПЗПІ-23-10","29.04.2025","16:40:00","29.04.2025","18:15:00","Ложь","Истина","29.04.2025","16:35:00","2","Обычная","СмП Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - Пр_П Лб DL ПЗПІ-23-10","13.05.2025","16:40:00","13.05.2025","18:15:00","Ложь","Истина","13.05.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - СмП Лб DL ПЗПІ-23-10","20.05.2025","16:40:00","20.05.2025","18:15:00","Ложь","Истина","20.05.2025","16:35:00","2","Обычная","СмП Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - СмП Лб DL ПЗПІ-23-10","27.05.2025","16:40:00","27.05.2025","18:15:00","Ложь","Истина","27.05.2025","16:35:00","2","Обычная","СмП Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-10 - Пр_П Лб DL ПЗПІ-23-10","03.06.2025","16:40:00","03.06.2025","18:15:00","Ложь","Истина","03.06.2025","16:35:00","2","Обычная","Пр_П Лб DL ПЗПІ-23-10","Обычный"
"ПЗПІ-23-5 - ОС Екз DL ПЗПІ-23-5","17.06.2025","16:40:00","17.06.2025","18:15:00","Ложь","Истина","17.06.2025","16:35:00","2","Обычная","ОС Екз DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-1 - *ВІА Пз DL *ВІА(ПЗПІ-23-)-1","05.03.2025","07:45:00","05.03.2025","09:20:00","Ложь","Истина","05.03.2025","07:40:00","2","Обычная","*ВІА Пз DL *ВІА(ПЗПІ-23-)-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","12.03.2025","07:45:00","12.03.2025","09:20:00","Ложь","Истина","12.03.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","26.03.2025","07:45:00","26.03.2025","09:20:00","Ложь","Истина","26.03.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ІМ2п Пз DL ПЗПІ-23-1","02.04.2025","07:45:00","02.04.2025","09:20:00","Ложь","Истина","02.04.2025","07:40:00","2","Обычная","ІМ2п Пз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОС Лб DL ПЗПІ-23-1","09.04.2025","07:45:00","09.04.2025","09:20:00","Ложь","Истина","09.04.2025","07:40:00","2","Обычная","ОС Лб DL ПЗПІ-23-1","Обычный"
